name,antigen,block,round,arm,condition,total,merged,low_quality,too_many_N,too_short,too_long,reads_no_cdr3_edges,seqs_no_cdr3_edges,reads_with_short_cdr3,seqs_with_short_cdr3,reads_with_low_frequency,seqs_with_low_frequency,reads_ambiguous,seqs_ambiguous,unique_dna,unique_dna_pct,merged_pct,unique_cdr3,total_cdr3,shannon,evenness,unique_cdr3_min2,total_cdr3_min2,shannon_min2,evenness_min2,VH_UNK,VL_UNK,n_cross_target_clones,n_cross_target_reads,pct_cross_target_reads
hCNTN4_19-991__Block162__Round4__F_P__20nM,hCNTN4_19-991,Block162,Round4,F_P,20nM,353451,329394,23083,24,2,0,1847,1728,0,0,0,0,9,8,92366,26.13,93.19,5687,327538,4.442769323734042,0.5138562464870235,2057,323908,4.3390941072248035,0.5687628647181341,1015,773,212,201202,61.43
hCNTN4_19-991__Block162__Round6__F_P__4nM_,hCNTN4_19-991,Block162,Round6,F_P,4nM_,240541,223700,16235,32,3,0,1409,1275,0,0,0,0,2,2,48076,19.99,93.0,3412,222289,3.2688022819857134,0.40181691709816936,1195,220072,3.1676804391309012,0.44703986571939985,622,583,333,200128,90.03
hCNTN5_96-479__Block162__Round3__M_P__100nM,hCNTN5_96-479,Block162,Round3,M_P,100nM,238516,223483,14185,24,1,0,1324,1261,0,0,0,0,2,2,174697,73.24,93.7,44129,222157,9.770965269970194,0.9136121373347298,21270,199298,9.371030250697498,0.9403894125832168,5653,5094,475,5321,2.4
hCNTN5_96-479__Block162__Round4__F_P__100nM,hCNTN5_96-479,Block162,Round4,F_P,100nM,214690,198405,15803,22,0,0,1248,1197,0,0,0,0,1,1,93029,43.33,92.41,7775,197156,6.5577193751398575,0.7319970821134667,3667,193048,6.416772553467924,0.7818534864092878,1266,848,250,45688,23.17
hCNTN5_96-479__Block162__Round5__F_P__20nM,hCNTN5_96-479,Block162,Round5,F_P,20nM,226482,209333,16471,13,0,0,1399,1300,0,0,0,0,5,5,66042,29.16,92.43,4622,207929,4.898347336092687,0.5804703772549449,2065,205372,4.794504159565403,0.6281378328256747,812,456,383,129603,62.33
hCNTN5_96-479__Block162__Round6__F_P__4nM,hCNTN5_96-479,Block162,Round6,F_P,4nM,97794,90492,6998,8,1,0,622,576,0,0,0,0,2,2,21092,21.57,92.53,1628,89868,2.964401233139091,0.40085978661893196,544,88784,2.849197656916666,0.4523290385835089,334,185,181,77109,85.8
hCNTN6_591-901__Block162__Round3__M_P__100nM,hCNTN6_591-901,Block162,Round3,M_P,100nM,279755,262033,16971,31,0,0,1714,1580,0,0,0,0,4,4,200582,71.7,93.67,49816,260315,9.817945658788114,0.9077165870793216,23942,234441,9.420602998039596,0.9342694717286313,6507,6289,417,9122,3.5
hCNTN6_591-901__Block162__Round4__F_P__20nM,hCNTN6_591-901,Block162,Round4,F_P,20nM,91471,85408,5783,5,1,0,477,450,0,0,0,0,0,0,27424,29.98,93.37,2369,84931,4.03239736219679,0.5189551517694585,925,83487,3.8886901150274995,0.569371530749017,458,240,119,48816,57.48
hCNTN6_591-901__Block162__Round6__F_P__4nM_,hCNTN6_591-901,Block162,Round6,F_P,4nM_,253081,237033,15369,17,0,0,1429,1300,0,0,0,0,4,4,42950,16.97,93.66,2708,235600,2.4441838754440384,0.30923513443936257,958,233850,2.36244997986415,0.3441372709596268,614,356,246,210459,89.33
hFLRT3_29-528__Block163__Round3__M_P__100nM,hFLRT3_29-528,Block163,Round3,M_P,100nM,192387,177899,13582,13,0,0,1156,1075,9,5,0,0,8,8,125474,65.22,92.47,23867,176726,8.602044529200379,0.8533560969540699,12016,164875,8.28247139468443,0.8816772785817913,3054,1801,385,16303,9.23
hFLRT3_29-528__Block163__Round4__F_N__100nM_mFLRT1,hFLRT3_29-528,Block163,Round4,F_N,100nM_mFLRT1,232580,214222,17577,19,0,0,1406,1350,0,0,0,0,7,7,112463,48.35,92.11,9593,212809,6.964840624335982,0.759624926067515,4919,208135,6.823538290606542,0.8026879468344841,1510,1026,403,52033,24.45
hFLRT3_29-528__Block163__Round4__F_P__20nM,hFLRT3_29-528,Block163,Round4,F_P,20nM,216415,198818,16746,17,1,0,1314,1244,0,0,0,0,3,3,111091,51.33,91.87,12151,197501,7.402880526662266,0.7871078443914032,6289,191639,7.226211180881601,0.8261777620571893,1893,1297,502,40873,20.7
hFLRT3_29-528__Block163__Round6__F_P__4nM,hFLRT3_29-528,Block163,Round6,F_P,4nM,224817,207337,16725,19,3,0,1247,1176,0,0,0,0,2,2,81882,36.42,92.22,5630,206088,5.71913193257153,0.6622535342147775,2582,203040,5.606400743143167,0.7136166868196023,1014,609,367,149087,72.34
